"apcmv1-vrc-extd1","ftEncryptionOpportunistic","Not Set","Not Set","Floppy drive 1","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","opportunistic","Not Set","Not Set","Not Set","Not Set","Not Set","TRUE","Hard disk 12","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set"
"APCZIACNTR1","ftEncryptionOpportunistic","Not Set","Not Set","CD/DVD drive 1","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","opportunistic","Not Set","Not Set","Not Set","Not Set","Not Set","TRUE","Hard disk 13","tools.guest.desktop.autolock:FALSE","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set"
"APCZIACNTR2","ftEncryptionOpportunistic","Not Set","Not Set","Floppy drive 1","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","opportunistic","Not Set","Not Set","Not Set","Not Set","Not Set","TRUE","Hard disk 14","tools.guest.desktop.autolock:FALSE","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set"
"apdmv1-scg1.copy","ftEncryptionOpportunistic","Not Set","Not Set","SATA controller 0","@{Parent=apdmv1-scg1.copy; Name=Floppy drive 1; ConnectionState=NotConnected, NoGuestControl, StartConnected}","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","opportunistic","Not Set","Not Set","Not Set","Not Set","Not Set","TRUE","Hard disk 15","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set"
"APPAPCPENP001","ftEncryptionOpportunistic","Not Set","Not Set","CD/DVD drive 1","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","opportunistic","Not Set","Not Set","Not Set","Not Set","Not Set","TRUE","Hard disk 16","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set"
"appapcupzpa01","ftEncryptionOpportunistic","Not Set","Not Set","SATA controller 0","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","opportunistic","Not Set","Not Set","Not Set","Not Set","Not Set","TRUE","Hard disk 17","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set"
"appapcupzpa03","ftEncryptionOpportunistic","Not Set","Not Set","CD/DVD drive 1","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","opportunistic","Not Set","Not Set","Not Set","Not Set","Not Set","TRUE","Hard disk 1","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set"
"appapcupzpa05","ftEncryptionOpportunistic","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","opportunistic","Not Set","Not Set","Not Set","Not Set","Not Set","TRUE","Hard disk 2","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set"
"appapcupzpa07","ftEncryptionOpportunistic","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","opportunistic","Not Set","Not Set","Not Set","Not Set","Not Set","TRUE","Hard disk 3","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set"
"appapcupzpa09","ftEncryptionOpportunistic","Not Set","Not Set","CD/DVD drive 1","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","opportunistic","Not Set","Not Set","Not Set","Not Set","Not Set","TRUE","Hard disk 1","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set"
"APPSGSGUPCTW06","ftEncryptionOpportunistic","Not Set","Not Set","CD/DVD drive 1","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","opportunistic","Not Set","Not Set","Not Set","Not Set","Not Set","TRUE","Hard disk 2","tools.guest.desktop.autolock:FALSE","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set"
"appsgsgvmn01","ftEncryptionOpportunistic","Not Set","Not Set","CD/DVD drive 1","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","opportunistic","Not Set","Not Set","Not Set","Not Set","Not Set","TRUE","Hard disk 1","tools.guest.desktop.autolock:FALSE","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set"
"appsgsgvmn02","ftEncryptionOpportunistic","Not Set","Not Set","CD/DVD drive 1","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","opportunistic","Not Set","Not Set","Not Set","Not Set","Not Set","TRUE","Hard disk 2","tools.guest.desktop.autolock:FALSE","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set"
"APPSGSGVSC01","ftEncryptionOpportunistic","Not Set","Not Set","USB controller ","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","opportunistic","Not Set","Not Set","Not Set","Not Set","Not Set","TRUE","Hard disk 1","tools.guest.desktop.autolock:FALSE","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set"
"HCX-TEST-VM-1","ftEncryptionOpportunistic","Not Set","Not Set","Floppy drive 1","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","opportunistic","Not Set","Not Set","Not Set","Not Set","Not Set","TRUE","Hard disk 2","tools.guest.desktop.autolock:FALSE","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set"
"laptpvd0003","ftEncryptionOpportunistic","Not Set","Not Set","USB controller ","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","opportunistic","Not Set","Not Set","Not Set","Not Set","Not Set","TRUE","Hard disk 1","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set"
"laptpvd0005","ftEncryptionOpportunistic","Not Set","Not Set","SATA controller 0","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","opportunistic","Not Set","Not Set","Not Set","Not Set","Not Set","TRUE","Hard disk 2","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set"
"laptpyz0005","ftEncryptionOpportunistic","Not Set","Not Set","CD/DVD drive 1","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","opportunistic","Not Set","Not Set","Not Set","Not Set","Not Set","TRUE","Hard disk 3","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set"
"laptpyz0007","ftEncryptionOpportunistic","Not Set","Not Set","CD/DVD drive 1","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","opportunistic","Not Set","Not Set","Not Set","Not Set","Not Set","TRUE","Hard disk 4","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set"
"rp.APDZIACNTR1.copy.shadow","ftEncryptionOpportunistic","Not Set","Not Set","CD/DVD drive 1","@{Parent=rp.APDZIACNTR1.copy.shadow; Name=Floppy drive 1; ConnectionState=NotConnected, NoGuestControl, StartConnected}","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","opportunistic","Not Set","Not Set","Not Set","Not Set","Not Set","TRUE","Hard disk 1","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set"
